bin, 0, end
bin\Code\F00333, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00339, 7, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00388, 6, qst: Data\T4\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, end
bin\Code\F00393, 4, qst: Data\T2\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00405, 2, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00410, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, end
bin\Code\F00429, 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00435, 6, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, end
bin\Code\F00443, 3, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00446, 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, end
